Player,Nation,Pos,Age,90s,Tackles,Tackles Won,Blocks,Shots Blocked,Passes Blocked,Interceptions,Clearances,Errors Leading to Shots
İlkay Gündoğan,GER,MF,32,33.3,32,22,19,4,15,21,18,1
Jules Koundé,FRA,DF,24,32.2,37,23,32,12,20,25,83,5
Robert Lewandowski,POL,FW,34,30.6,8,5,13,4,9,9,18,0
João Cancelo,POR,DF,29,27.8,64,44,35,6,29,29,59,1
Marc-André ter Stegen,GER,GK,31,28,0,0,0,0,0,0,3,3
Andreas Christensen,DEN,"DF,MF",27,22,23,14,23,10,13,21,41,0
Lamine Yamal,ESP,FW,16,24.5,61,37,32,0,32,19,11,0
Ronald Araújo,URU,DF,24,22.2,27,22,20,11,9,12,66,2
Frenkie de Jong,NED,MF,26,18.2,43,26,18,8,10,14,28,1
Pau Cubarsí,ESP,DF,16,17.3,22,14,20,16,4,12,65,0
João Félix,POR,FW,23,17.1,22,16,14,1,13,10,11,0
Raphinha,BRA,"FW,MF",26,15.2,14,8,17,1,16,13,11,0
Pedri,ESP,"MF,FW",20,16.4,33,24,27,3,24,14,10,0
Alejandro Balde,ESP,DF,19,15.3,20,11,14,1,13,5,21,1
Fermin López,ESP,"MF,FW",20,16.1,41,21,14,1,13,4,9,0
Iñigo Martínez,ESP,DF,32,14.4,10,7,13,10,3,11,50,0
Ferrán Torres,ESP,FW,23,13.5,9,6,7,1,6,5,6,0
Oriol Romeu,ESP,MF,31,10.4,34,20,12,2,10,10,18,0
Gavi,ESP,"MF,FW",18,10.5,39,21,19,3,16,8,16,1
Iñaki Peña,ESP,GK,24,10,0,0,0,0,0,0,5,1
Sergi Roberto,ESP,"MF,DF",31,9.6,15,10,7,2,5,8,7,1
Héctor Fort,ESP,DF,16,3.5,6,5,0,0,0,2,4,0
Marcos Alonso,ESP,DF,32,2.8,5,3,2,0,2,4,6,0
Vitor Roque,BRA,FW,18,3.6,3,2,3,0,3,0,5,0
Marc Guiu,ESP,"FW,MF",17,0.8,1,0,0,0,0,0,0,0
Abde Ezzalzouli,MAR,"FW,MF",21,0.8,1,1,1,0,1,0,0,0
Eric García,ESP,DF,22,0.6,0,0,1,1,0,0,0,0
Ansu Fati,ESP,"MF,FW",20,0.6,0,0,0,0,0,0,0,0
Marc Casado,ESP,MF,19,0.2,1,1,0,0,0,1,2,0
Squad Total,,,26,38,571,363,363,97,266,257,573,17
Opponent Total,,,26.9,38,643,392,450,159,291,318,770,10
