Player,Nation,Pos,Age,90s,Total Passes Completed,Total Passes Attempted,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Assists,xA
İlkay Gündoğan,GER,MF,32,33.3,2163,2510,1095,1186,830,904,182,313,9,9.8
Jules Koundé,FRA,DF,24,32.2,2478,2757,1192,1263,1090,1164,156,237,2,2.6
Robert Lewandowski,POL,FW,34,30.6,416,592,248,311,120,168,21,35,8,3.6
João Cancelo,POR,DF,29,27.8,1533,1852,854,924,537,648,114,183,4,6.7
Marc-André ter Stegen,GER,GK,31,28,927,1036,182,183,490,501,251,344,0,0.1
Andreas Christensen,DEN,"DF,MF",27,22,1480,1569,669,699,700,724,87,108,2,0.8
Lamine Yamal,ESP,FW,16,24.5,903,1132,572,650,262,337,44,77,5,6.5
Ronald Araújo,URU,DF,24,22.2,1458,1641,543,578,769,818,136,218,2,1.7
Frenkie de Jong,NED,MF,26,18.2,1542,1674,872,905,558,608,80,104,0,4.9
Pau Cubarsí,ESP,DF,16,17.3,1360,1487,493,523,737,772,122,170,0,0.4
João Félix,POR,FW,23,17.1,538,663,355,392,138,173,22,46,3,2.6
Raphinha,BRA,"FW,MF",26,15.2,522,693,261,313,182,222,63,114,9,5
Pedri,ESP,"MF,FW",20,16.4,1035,1189,497,555,435,478,78,95,2,4.1
Alejandro Balde,ESP,DF,19,15.3,694,817,430,473,229,264,22,42,1,1.5
Fermin López,ESP,"MF,FW",20,16.1,522,631,321,349,138,172,38,54,0,1.3
Iñigo Martínez,ESP,DF,32,14.4,1001,1132,403,432,464,496,118,173,0,0.5
Ferrán Torres,ESP,FW,23,13.5,351,450,203,241,102,127,31,38,2,1.9
Oriol Romeu,ESP,MF,31,10.4,717,806,372,399,291,319,38,59,1,0.9
Gavi,ESP,"MF,FW",18,10.5,489,541,297,315,146,165,28,35,1,1.4
Iñaki Peña,ESP,GK,24,10,259,297,76,76,145,146,37,74,0,0
Sergi Roberto,ESP,"MF,DF",31,9.6,582,654,341,364,192,211,23,34,2,0.8
Héctor Fort,ESP,DF,16,3.5,200,230,121,129,65,76,11,19,2,0.5
Marcos Alonso,ESP,DF,32,2.8,180,214,105,112,57,67,8,21,0,0.3
Vitor Roque,BRA,FW,18,3.6,49,67,34,41,11,15,1,1,0,0
Marc Guiu,ESP,"FW,MF",17,0.8,8,8,3,3,3,3,0,0,0,0.1
Abde Ezzalzouli,MAR,"FW,MF",21,0.8,23,37,18,23,4,8,1,4,0,0
Eric García,ESP,DF,22,0.6,46,48,22,23,21,21,3,4,0,0
Ansu Fati,ESP,"MF,FW",20,0.6,24,28,15,15,7,9,1,1,0,0.1
Marc Casado,ESP,MF,19,0.2,6,6,4,4,1,1,1,1,0,0
Squad Total,,,26,38,21506,24761,10598,11481,8724,9617,1717,2604,55,57.9
Opponent Total,,,26.9,38,10455,13768,4978,5702,3966,4699,1202,2489,35,30
